M1	M2	M3	meta	mR	l5	mu22	BRtaumu	BRtaue	BRmue	BRhmutau	BRhetau	BRhemu
592.8866940674872	23981.940515393544	10829.640538702772	592.8991795192131	619.8357108440912	1.1761649383255448e-10	49919.19194072446	1.4122081502949806e-12	1.117092260203037e-15	3.7132923628508207e-13	0.00000000021470476533108829734192831407746505	0.0000000051531787939607923309430235919129766	0.00000000015585421245173028369249822725517198
584.1680513350808	18586.550546401675	21007.13565957875	584.2110077921703	607.529406005219	1.1766421873104964e-10	201082.50873391627	3.0936285067667865e-15	4.122841213022614e-14	1.6648599264563135e-13	0.00000000018302888190576058514193729821228317	0.0000000037800090481253600031859238175999959	0.00000000015845513427689597156778002318877522
573.7377003181147	28205.521243844883	27309.863561981747	573.7637970206124	581.0387734804542	1.3958134073598413e-10	86460.18781781771	9.110603596955034e-15	5.1603543850281445e-15	3.330711560754055e-14	0.00000000039748736231339213483885101582172064	0.0000000024684183204018791505928630239347251	0.00000000010437702947568679220787844380920015
594.4597336059295	36680.254147114436	26801.75628271464	594.4847963453931	601.4673852191696	1.4914650601244897e-10	228374.56967227987	3.238842811540438e-14	8.149134872321276e-16	1.9495974843913275e-14	7.7264913552397295286693306072160362e-11	0.0000000024125175518176813413374437656178614	9.8106052218037091517024823668222318e-11
570.7249733845559	30734.059804878045	31058.77800867554	570.726770368389	591.6676585839855	1.4678031173527099e-10	38717.53354389165	4.124302591922961e-15	3.994003716476844e-15	2.2333630357315804e-14	0.00000000058063551556481710065557091675223066	0.0000000023261247974396582409078060766167363	0.00000000010063197680009896607790847230139969
550.6907667204329	24175.70971858816	13598.407939679943	550.731004801223	554.0727589285538	1.233052817566992e-10	163407.15408010705	4.723918167385065e-13	4.290140573864874e-16	1.6676891519675338e-13	8.5620132673819532986956502559816585e-11	0.0000000033350666189629200829356973716490557	0.00000000011444809873662576184627729761349994
561.7993622469023	25104.876067640464	41450.72568247792	561.8595515379872	564.5350317005681	1.4518083533819337e-10	204160.54485066375	1.0920062305880834e-14	1.5550347631978974e-14	2.7787117228871374e-14	0.00000000010330859634171246151185199428736518	0.0000000019672755997152816988094763251825847	9.2168651854060137707280448402973941e-11
597.0488159568355	17932.00139996395	26124.197946411958	597.0562727076397	637.5322996231175	1.205812844745839e-10	295472.2640094423	1.6130001155418993e-14	6.867690115703063e-14	1.5674219202572217e-13	4.1162316497006202675978940826718273e-11	0.000000003810200814123284925744812496948012	0.0000000001715271706858396442108473465757113
589.619318560523	18161.29999355978	15711.487240445176	589.6456903319856	605.1921352308627	1.1171147838290107e-10	221824.88797937505	1.2117832811738181e-13	2.7401922159213168e-14	2.696960703561555e-13	0.00000000010921373147316288016047319176005188	0.0000000044565380347854188919279370572976635	0.00000000016782883882000019500781395054809913
561.0908132489822	14447.287508724934	29850.060420659764	561.1120727862369	580.1403866341446	1.1911551434383756e-10	3434.917261763505	1.6028025617610786e-13	1.8250033061766585e-13	2.4116552831928497e-13	0.0000000013692399649157344507038983590498578	0.000000002912961430047890949803870755846813	0.00000000014235037474270785945827197997517527
585.752452953826	32317.396364272743	14999.96823266895	585.77382838071	596.8078800704913	1.3459762487619469e-10	137064.96118662576	4.3694080756344873e-13	1.8904433633397387e-16	9.517538887295145e-14	0.00000000014055064864400315603826899815296644	0.0000000033327197263682037476636393288856434	0.00000000011367477213949562481998760973168881
561.7042504000954	17812.665053586898	16246.77481816855	561.716042105839	588.0506128803663	1.1435821592786885e-10	6073.510484581064	7.868200965179263e-14	3.108724466129271e-14	2.481261483392086e-13	0.00000000082321139894414252718756078886596577	0.0000000039935791882389251450214898255299444	0.00000000015532563530969803689899523224646231
591.1135796024786	16129.3260423193	19211.38480400502	591.1717986176792	608.6934652964179	1.1144365633118112e-10	130982.3136378238	3.3446847646902404e-16	7.952597783370798e-14	2.815506003996823e-13	0.00000000045743482397239499212130852595501944	0.0000000041494997552630265842189246324263392	0.0000000001731448614443811418792310963097572
588.9761336169706	23916.94478470186	40592.35935223684	589.0248876123093	592.264787513789	1.39247498142582e-10	192402.74032551362	1.585281204645596e-14	2.1647043411605883e-14	3.710775215654826e-14	0.00000000019647230348623273698489838896497954	0.0000000023325135451911687529069912028779732	0.00000000010958234268619061486483897622139464
590.6221716301002	22259.274369833583	49270.67628000345	590.6440535488784	592.4983089698095	1.4283362805949343e-10	13475.571921531851	4.5043832114257226e-14	3.42697545740139e-14	4.017528001884073e-14	0.00000000095914893346849568500780653576082919	0.0000000021272097676609834501701122690075061	0.00000000010446914970613313112134423066439625
594.6257587997402	28848.07587037402	12236.975507080544	594.6503409250663	626.8608089248773	1.2716671667362154e-10	276466.19186904636	9.62843202674044e-13	1.3865322034382533e-15	2.1002386369062343e-13	1.6123215298950717275615256826695225e-11	0.0000000044384507809589506528313590796883517	0.00000000014044254731202399077993239628503692
