	m6	One no mni	One with mni	Two	Total
30	7054.802310718643235872963215490492080720141400818640676857554901069462030005988601178614296887832111	(0.003200000000000000153349555276349747146308070307358689812689405825939498299315354312312398102836947618 + 0.0j)	(0.003200000000000000153349555276349747426737236237775283245538978843723794979794917281064348744189221364 - 1.588927678764475061483182302962064491828804146964651656717186411075499698205500312860257576593851004e-53j)	(0.003200000000000000153349555362569565374470906010930577060306676432108549784898286060839729491903831945 - 1.589355660014117738632788783398573947661723928500264587181933594684388424204882821253036801313800857e-53j)	(0.003200000000000000153349555276349747408866356368858836186223790605477394553490892779379954391796558487 - 1.589007853600563366856425088909418507971486383785610800028054958089193973087867484181408062916332616e-53j)
31	10235.31021899026184311955863720498750163117125298718033163346893766628575061937507220757666425906201	(0.003200000000000000153349555276349747146153807000474984009111537303335503950770872206644150493997593112 + 0.0j)	(0.003200000000000000153349555276349747246803362388763037800137565661108434244953687625363153464089741078 - 2.304290102858525080285171455717904513838302890784646045183806299288217818338976965120672437847238281e-53j)	(0.003200000000000000153349555474245335855519004674162114559573387193879370992514811350875404915876441857 - 2.304585141157307374872752867911153322144195765663456432840758596308839482433528054927664454178262624e-53j)	(0.003200000000000000153349555276349747239446747706158102955136971764623630606213051726820482559013582786 - 2.304345322970566366899648043415745432576313690185407936718082537305322660442930595944487305609665553e-53j)
32	14849.68262254465042212967174490733933840208602576761858745547075327826734459008343502525916306209005	(0.00320000000000000015334955527634974714608049214100978911583448793282811645295183456513772422645707172 + 0.0j)	(0.003200000000000000153349555276349747162089232708960012388081649414747969176302276202485928999869750522 - 3.342383107663380533600346151692369532243388886843060683228824909340763465078103325716920386555958573e-53j)	(0.003200000000000000153349555728939586581837269128835692972562541678488520633083408719534120303253118401 - 3.342586499507645716455232324260435535635813644880739223324671480814399963809725617409954116210476802e-53j)	(0.003200000000000000153349555276349747160162845958855402419678508073575458645276531982441495761124909173 - 3.342421156345850653093672717226928636137484145559566492573131661827387195764388125214841649302622211e-53j)
33	21544.34690031883721759293566519350495259344942192108582489235506346411106648340800185441503543243276	(0.00320000000000000015334955527634974714604565586176108267347141919395491751513130038553582071522935439 + 0.0j)	(0.003200000000000000153349555276349747154787937508819166829603831554464377131436008030953858837013016383 - 4.848657152949147515368904859716826833048624351543750686595795139630835637133684453397182573337178734e-53j)	(0.003200000000000000153349556308012278916171859276052495072187117999056312904896114702089622119484069161 - 4.848797413966225115882759928154774300577116675040329218889618194460751763568760038765641223852347276e-53j)	(0.0032000000000000001533495552763497471556478431108284206189072344423552348960983268420194496255952041 - 4.848683374749533210074005842087884857616419913979284705996569442871095219411165515168165179948065655e-53j)
34	31257.15849688236284186266834293497481677516653220731549241335245965617916616366132688361539423423233	(0.003200000000000000153349555276349747146029104590645607098459489956464685297092036381474886166782479136 + 0.0j)	(0.003200000000000000153349555276349747239910633034496861816015869466042402540808936430701295291376549936 - 7.034142729487433818442454351987966654741351273333244468907288452598846589707346223360863350954529754e-53j)	(0.003200000000000000153349557620820358322417401602157195676782721042678002839042997170511024299835297051 - 7.03423962048636318103447384287838647635738052898055248997290807362556539601156254164447784981114867e-53j)	(0.003200000000000000153349555276349747242192305926243572601189598300109624011827487662072473524368543407 - 7.034160802077821492078360565546393626019348722848120121817363931802686677862935710374369117146326879e-53j)
35	45348.78508128582036331796063457410327377468253868039192258580225544072378410454502776451746956044029	(0.003200000000000000153349555276349747146021241141881696848084226473125872507761299359153722242205160739 + 0.0j)	(0.003200000000000000153349555276349747479812253353703041676133278097031603794119029449785579428644731771 - 1.020501591861043618857245844385670549416994317196188961137316256247184469955829821590195631152035755e-52j)	(0.003200000000000000153349560589157291615164882383257363332061708731285097845465318185704719661957890506 - 1.0205083378273926917869385547038574587128404006009752391867325518282286558418559834610482944127239e-52j)	(0.003200000000000000153349555276349747482815952907854474615226019287427311066692343858493860774381888628 - 1.020502837503324275596861303986977774503266967146044416637964642477594981847456938532637494728898313e-52j)
36	65793.32246575679922707612225559914903852457912556552313722617660590991683285349156246920116550845732	(0.003200000000000000153349555276349747146017505313971499123582349940294436776945262408256496110526889835 + 0.0j)	(0.003200000000000000153349555276349748023394776121235479662751162128719623924719981033056095023948696741 - 1.480549219072282463300830771186563274309735632742054850620480992486980652036665493629469623970865031e-52j)	(0.003200000000000000153349567284135815225964763767095050174693306634458473867857212121802288344356570162 - 1.48055408270739610263234061062531348596124207198324774553491364819049139765356928432740259456825967e-52j)	(0.003200000000000000153349555276349748026763619888353597158242161426399373443894374061621653076422163094 - 1.48055007763620931603227882805674358044308679732896088205469807629759350554739461512229552806649691e-52j)
37	95454.84566618340292408082927026210213783349604731367354446418876487704077824651684718765909565731655	(0.003200000000000000153349555276349747146015730482220057564400877572462332851305683039880972280169484706 + 0.0j)	(0.003200000000000000153349555276349749194041772594655077960295571575596673598514547570759503956896305423 - 2.148005764740269583110505391748094917699890253554761508118347476655850848977972403225190914139410169e-52j)	(0.00320000000000000015334958234956011064460983386829563225429361436871837881072154009247159873886748828 - 2.148009792873804165779026930876123563673571397157343360093690242664902068537838012420786252894719955e-52j)	(0.003200000000000000153349555276349749197594599157295987243769549564093952525808963193452556456202518292 - 2.148006356512473331093298117018953270497306109845035693944391388053039602692842233816764188994031564e-52j)
38	138488.6371393873076635449270331906151818535797211884310535897067857484860547582270128097075814769682	(0.003200000000000000153349555276349747146014887291143127680951395289507923680818258569110075716462108577 + 0.0j)	(0.003200000000000000153349555276349751677985551237101866406212841425405999209562786798632985854593877562 - 3.116375583210019550645117783659742592177181363526320689023161983389293003350567696823617353063185957e-52j)	(0.003200000000000000153349616177445311162135899335645195313755641194330691747111315637185588723764703938 - 3.116380492555850923576420760047675483088054072190826191002296320859633824467287328372682487057892464e-52j)	(0.003200000000000000153349555276349751681630777382717493365220201611933069623920114002162991985843982866 - 3.116375991094817797779749716895034949094321701304007409008168609639771744680549772068457393830102011e-52j)
39	200923.3002565047131411889281648688080082632354652769530347397451792800921726842629581511391395183345	(0.003200000000000000153349555276349747146014486706626127572671114367201206905194799935149581017174304658 + 0.0j)	(0.003200000000000000153349555276349756922725683377198766223920472481534757627485105982125590562925820822 - 4.521317849292330910006694616291590131791953760078032923701369381684105325506960562410422913458310957e-52j)	(0.003200000000000000153349691980829932170188654370765680849798191320822629950355959949018826174067473026 - 4.521327957619999631514430505285170685056983566123301897679874939893652319919238543415434126981886117e-52j)	(0.003200000000000000153349555276349756926417178792841673307426896199148674996329306243454879656958148476 - 4.521318130431154770908400843807329111389954807286695561191039466684395951228778094892144768486574228e-52j)
